,address,tools,lines,nb_vulnerabilities,source_code,vulnerability_category_labels,md5_hash,scores,accepted_labels,token_count
0,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,"{'mythril': {'vulnerabilities': {}, 'categories': {}}, 'slither': {'vulnerabilities': {}, 'categories': {}}, 'oyente': {'vulnerabilities': {}, 'categories': {}}, 'osiris': {'vulnerabilities': {}, 'categories': {}}, 'smartcheck': {'vulnerabilities': {}, 'categories': {}}, 'manticore': {'vulnerabilities': {}, 'categories': {}}, 'maian': {'vulnerabilities': {}, 'categories': {}}, 'securify': {'vulnerabilities': {}, 'categories': {}}, 'honeybadger': {'vulnerabilities': {}, 'categories': {}}}",[],0,"contract AmIOnTheFork { function forked() constant returns(bool); } contract ReplaySafeSplit { AmIOnTheFork amIOnTheFork = AmIOnTheFork(0x2bd2326c993dfaef84f696526064ff22eba5b362); event e(address a); function split(address targetFork, address targetNoFork) returns(bool) { if (amIOnTheFork.forked() && targetFork.send(msg.value)) { e(targetFork); return true; } else if (!amIOnTheFork.forked() && targetNoFork.send(msg.value)) { e(targetNoFork); return true; } throw; } function() { throw; } }",set(),a3e41ff7fde2b3a03e0a963b7c6a7269,"{'access_control': 0.0, 'arithmetic': 0.0, 'denial_service': 0.0, 'front_running': 0.0, 'reentrancy': 0.0, 'time_manipulation': 0.0, 'unchecked_low_calls': 0.0, 'other': 0.0, 'clean': 1.0}",{'clean'},176
1,0x8fdcc30eda7e94f1c12ce0280df6cd531e8365c5,"{'mythril': {'vulnerabilities': {}, 'categories': {}}, 'slither': {'vulnerabilities': {}, 'categories': {}}, 'oyente': {'vulnerabilities': {'Integer Underflow.': 1}, 'categories': {'arithmetic': 1}}, 'osiris': {'vulnerabilities': {}, 'categories': {}}, 'smartcheck': {'vulnerabilities': {}, 'categories': {}}, 'manticore': {'vulnerabilities': {}, 'categories': {}}, 'maian': {'vulnerabilities': {}, 'categories': {}}, 'securify': {'vulnerabilities': {}, 'categories': {}}, 'honeybadger': {'vulnerabilities': {}, 'categories': {}}}",[5],1,"pragma solidity ^0.4.18; contract CpcToken{ mapping (address => uint256) balances; address public owner; string public name; string public symbol; uint8 public decimals; uint256 public totalSupply; mapping (address => mapping (address => uint256)) allowed; constructor () public { owner = msg.sender; name = ""CpcToken""; symbol = ""CPCT""; decimals = 18; totalSupply = 2000000000000000000000000000; balances[owner] = totalSupply; } function balanceOf(address _owner) public constant returns (uint256 balance) { return balances[_owner]; } function transfer(address _to, uint256 _value) public returns (bool success) { require(_value > 0 ); require(balances[msg.sender] >= _value); require(balances[_to] + _value > balances[_to]); balances[msg.sender] -= _value; balances[_to] += _value; emit Transfer(msg.sender, _to, _value); return true; } function transferFrom(address _from, address _to, uint256 _value) public returns (bool success) { require(balances[_from] >= _value); require(balances[_to] + _value >= balances[_to]); require(_value <= allowed[_from][msg.sender]); balances[_from] -= _value; balances[_to] += _value; allowed[_from][msg.sender] -= _value; emit Transfer(_from, _to, _value); return true; } function approve(address _spender, uint256 _value) public returns (bool success) { require(balances[msg.sender] >= _value); allowed[msg.sender][_spender] = _value; emit Approval(msg.sender, _spender, _value); return true; } function allowance(address _owner, address _spender) public constant returns (uint256 remaining) { return allowed[_owner][_spender]; } function () private { revert(); } event Transfer(address indexed _from, address indexed _to, uint256 _value); event Approval(address indexed _owner, address indexed _spender, uint256 _value); }",{'arithmetic'},32c90a6b40e370d03bf9ef9d6d9dcb3e,"{'access_control': 0.0, 'arithmetic': np.float64(0.220970829953588), 'denial_service': 0.0, 'front_running': 0.0, 'reentrancy': 0.0, 'time_manipulation': 0.0, 'unchecked_low_calls': 0.0, 'other': 0.0, 'clean': 0.8888888888888888}",{'arithmetic'},483
2,0x9554efa1669014c25070bc23c2df262825704228,"{'mythril': {'vulnerabilities': {}, 'categories': {}}, 'slither': {'vulnerabilities': {}, 'categories': {}}, 'oyente': {'vulnerabilities': {}, 'categories': {}}, 'osiris': {'vulnerabilities': {}, 'categories': {}}, 'smartcheck': {'vulnerabilities': {}, 'categories': {}}, 'manticore': {'vulnerabilities': {'Warning NUMBER instruction used': 2}, 'categories': {'Other': 2}}, 'maian': {'vulnerabilities': {}, 'categories': {}}, 'securify': {'vulnerabilities': {}, 'categories': {}}, 'honeybadger': {'vulnerabilities': {}, 'categories': {}}}",[9],2,"contract AmIOnTheFork { bool public forked = false; address constant darkDAO = 0x304a554a310c7e546dfe434669c62820b7d83490; function update() { if (block.number >= 1920000 && block.number <= 1921200) { forked = darkDAO.balance < 3600000 ether; } } function() { throw; } } contract ReplaySafeSplit { AmIOnTheFork amIOnTheFork = AmIOnTheFork(0x2bd2326c993dfaef84f696526064ff22eba5b362); function split(address targetFork, address targetNoFork) returns(bool) { if (amIOnTheFork.forked() && targetFork.send(msg.value)) { return true; } else if (!amIOnTheFork.forked() && targetNoFork.send(msg.value)) { return true; } throw; } function() { throw; } }",{'other'},a74bb9a3271e625fd8c1dd509d44fc9c,"{'access_control': 0.0, 'arithmetic': 0.0, 'denial_service': 0.0, 'front_running': 0.0, 'reentrancy': 0.0, 'time_manipulation': 0.0, 'unchecked_low_calls': 0.0, 'other': np.float64(0.1111111111111111), 'clean': 0.8888888888888888}",{'other'},229
3,0xabbb6bebfa05aa13e908eaa492bd7a8343760477,"{'mythril': {'vulnerabilities': {}, 'categories': {}}, 'slither': {'vulnerabilities': {}, 'categories': {}}, 'oyente': {'vulnerabilities': {}, 'categories': {}}, 'osiris': {'vulnerabilities': {}, 'categories': {}}, 'smartcheck': {'vulnerabilities': {}, 'categories': {}}, 'manticore': {'vulnerabilities': {}, 'categories': {}}, 'maian': {'vulnerabilities': {}, 'categories': {}}, 'securify': {'vulnerabilities': {}, 'categories': {}}, 'honeybadger': {'vulnerabilities': {}, 'categories': {}}}",[],0,"contract RequiringFunds { modifier NeedEth () { if (msg.value <= 0 ) throw; _ } } contract AmIOnTheFork { function forked() constant returns(bool); } contract ReplaySafeSplit is RequiringFunds { address private constant oracleAddress = 0x2bd2326c993dfaef84f696526064ff22eba5b362; AmIOnTheFork amIOnTheFork = AmIOnTheFork(oracleAddress); function split(address targetFork, address targetNoFork) NeedEth returns(bool) { if (targetFork == 0) throw; if (targetNoFork == 0) throw; if (amIOnTheFork.forked() && targetFork.send(msg.value)) { return true; } else if (!amIOnTheFork.forked() && targetNoFork.send(msg.value)) { return true; } throw; } function() { throw; } }",set(),fbdeabb8e87d9a1088bc066400a0a0b3,"{'access_control': 0.0, 'arithmetic': 0.0, 'denial_service': 0.0, 'front_running': 0.0, 'reentrancy': 0.0, 'time_manipulation': 0.0, 'unchecked_low_calls': 0.0, 'other': 0.0, 'clean': 1.0}",{'clean'},220
4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'mythril': {'vulnerabilities': {'Integer Overflow': 2}, 'categories': {'arithmetic': 2}}, 'slither': {'vulnerabilities': {}, 'categories': {}}, 'oyente': {'vulnerabilities': {'Integer Underflow.': 1, 'Integer Overflow.': 1}, 'categories': {'arithmetic': 2}}, 'osiris': {'vulnerabilities': {'overflow_bugs': 2}, 'categories': {'arithmetic': 2}}, 'smartcheck': {'vulnerabilities': {}, 'categories': {}}, 'manticore': {'vulnerabilities': {}, 'categories': {}}, 'maian': {'vulnerabilities': {}, 'categories': {}}, 'securify': {'vulnerabilities': {}, 'categories': {}}, 'honeybadger': {'vulnerabilities': {}, 'categories': {}}}","[75, 35, 20, 71]",6,"pragma solidity ^0.4.18; contract WETH9 { string public name = ""Wrapped Ether""; string public symbol = ""WETH""; uint8 public decimals = 18; event Approval(address indexed src, address indexed guy, uint wad); event Transfer(address indexed src, address indexed dst, uint wad); event Deposit(address indexed dst, uint wad); event Withdrawal(address indexed src, uint wad); mapping (address => uint) public balanceOf; mapping (address => mapping (address => uint)) public allowance; function() public payable { deposit(); } function deposit() public payable { balanceOf[msg.sender] += msg.value; Deposit(msg.sender, msg.value); } function withdraw(uint wad) public { require(balanceOf[msg.sender] >= wad); balanceOf[msg.sender] -= wad; msg.sender.transfer(wad); Withdrawal(msg.sender, wad); } function totalSupply() public view returns (uint) { return this.balance; } function approve(address guy, uint wad) public returns (bool) { allowance[msg.sender][guy] = wad; Approval(msg.sender, guy, wad); return true; } function transfer(address dst, uint wad) public returns (bool) { return transferFrom(msg.sender, dst, wad); } function transferFrom(address src, address dst, uint wad) public returns (bool) { require(balanceOf[src] >= wad); if (src != msg.sender && allowance[src][msg.sender] != uint(-1)) { require(allowance[src][msg.sender] >= wad); allowance[src][msg.sender] -= wad; } balanceOf[src] -= wad; balanceOf[dst] += wad; Transfer(src, dst, wad); return true; } }",{'arithmetic'},1242a0b2d700413907a04a404d68370e,"{'access_control': 0.0, 'arithmetic': np.float64(0.688514475437834), 'denial_service': 0.0, 'front_running': 0.0, 'reentrancy': 0.0, 'time_manipulation': 0.0, 'unchecked_low_calls': 0.0, 'other': 0.0, 'clean': 0.6666666666666666}",{'arithmetic'},433
5,0xaa1a6e3e6ef20068f7f8d8c835d2d22fd5116444,"{'mythril': {'vulnerabilities': {}, 'categories': {}}, 'slither': {'vulnerabilities': {}, 'categories': {}}, 'oyente': {'vulnerabilities': {}, 'categories': {}}, 'osiris': {'vulnerabilities': {}, 'categories': {}}, 'smartcheck': {'vulnerabilities': {}, 'categories': {}}, 'manticore': {'vulnerabilities': {}, 'categories': {}}, 'maian': {'vulnerabilities': {}, 'categories': {}}, 'securify': {'vulnerabilities': {}, 'categories': {}}, 'honeybadger': {'vulnerabilities': {}, 'categories': {}}}",[],0,"contract AmIOnTheFork { function forked() constant returns(bool); } contract ReplaySafeSplit { AmIOnTheFork amIOnTheFork = AmIOnTheFork(0x2bd2326c993dfaef84f696526064ff22eba5b362); function split(address targetFork, address targetNoFork) returns(bool) { if (amIOnTheFork.forked() && targetFork.send(msg.value)) { return true; } else if (!amIOnTheFork.forked() && targetNoFork.send(msg.value)) { return true; } throw; } function() { throw; } }",set(),64ad803772d3bbbe3e0791f7700fd173,"{'access_control': 0.0, 'arithmetic': 0.0, 'denial_service': 0.0, 'front_running': 0.0, 'reentrancy': 0.0, 'time_manipulation': 0.0, 'unchecked_low_calls': 0.0, 'other': 0.0, 'clean': 1.0}",{'clean'},157
6,0x6ea6531b603f270d23d9edd2d8279135dc5d6773,"{'mythril': {'vulnerabilities': {'Integer Overflow': 2, 'Integer Underflow': 2}, 'categories': {'arithmetic': 4}}, 'slither': {'vulnerabilities': {}, 'categories': {}}, 'oyente': {'vulnerabilities': {'Integer Underflow.': 1, 'Integer Overflow.': 1}, 'categories': {'arithmetic': 2}}, 'osiris': {'vulnerabilities': {'overflow_bugs': 1, 'underflow_bugs': 2}, 'categories': {'arithmetic': 3}}, 'smartcheck': {'vulnerabilities': {}, 'categories': {}}, 'manticore': {'vulnerabilities': {}, 'categories': {}}, 'maian': {'vulnerabilities': {}, 'categories': {}}, 'securify': {'vulnerabilities': {}, 'categories': {}}, 'honeybadger': {'vulnerabilities': {}, 'categories': {}}}","[34, 35, 71, 74, 51, 52, 61, 63]",9,"pragma solidity ^0.4.13; contract InsurChainCoin { address public owner; string public name; string public symbol; uint8 public decimals; uint256 public totalSupply; mapping (address => uint256) public balanceOf; mapping (address => mapping (address => uint256)) public allowance; event Transfer(address indexed from, address indexed to, uint256 value); event Burn(address indexed from, uint256 value); function InsurChainCoin() { owner = 0xf1A67c1a35737fb93fBC6F5e7d175cFBfCe3aD09; name = 'InsurChain Coin'; symbol = 'INSUR'; decimals = 18; totalSupply = 20000000000000000000000000000; balanceOf[owner] = 20000000000000000000000000000; } function transfer(address _to, uint256 _value) returns (bool success) { require(balanceOf[msg.sender] >= _value); balanceOf[msg.sender] -= _value; balanceOf[_to] += _value; Transfer(msg.sender, _to, _value); return true; } function approve(address _spender, uint256 _value) returns (bool success) { allowance[msg.sender][_spender] = _value; return true; } function transferFrom(address _from, address _to, uint256 _value) returns (bool success) { require(balanceOf[_from] >= _value); require(allowance[_from][msg.sender] >= _value); balanceOf[_from] -= _value; balanceOf[_to] += _value; allowance[_from][msg.sender] -= _value; Transfer(_from, _to, _value); return true; } function burn(uint256 _value) returns (bool success) { require(balanceOf[msg.sender] >= _value); balanceOf[msg.sender] -= _value; totalSupply -= _value; Burn(msg.sender, _value); return true; } function burnFrom(address _from, uint256 _value) returns (bool success) { require(balanceOf[_from] >= _value); require(msg.sender == owner); balanceOf[_from] -= _value; totalSupply -= _value; Burn(_from, _value); return true; } }",{'arithmetic'},ce23ae976579ce3613d8d6656d982e04,"{'access_control': 0.0, 'arithmetic': np.float64(0.688514475437834), 'denial_service': 0.0, 'front_running': 0.0, 'reentrancy': 0.0, 'time_manipulation': 0.0, 'unchecked_low_calls': 0.0, 'other': 0.0, 'clean': 0.6666666666666666}",{'arithmetic'},509
7,0x49592d97be49033615a7fbc02c6853e4c58eb9bc,"{'mythril': {'vulnerabilities': {'Integer Overflow': 2}, 'categories': {'arithmetic': 2}}, 'slither': {'vulnerabilities': {}, 'categories': {}}, 'oyente': {'vulnerabilities': {'Integer Underflow.': 1}, 'categories': {'arithmetic': 1}}, 'osiris': {'vulnerabilities': {'overflow_bugs': 2}, 'categories': {'arithmetic': 2}}, 'smartcheck': {'vulnerabilities': {}, 'categories': {}}, 'manticore': {'vulnerabilities': {'Potentially reading uninitialized storage': 3}, 'categories': {'Other': 3}}, 'maian': {'vulnerabilities': {}, 'categories': {}}, 'securify': {'vulnerabilities': {}, 'categories': {}}, 'honeybadger': {'vulnerabilities': {}, 'categories': {}}}","[8, 46, 15, 48, 47, 54]",8,"pragma solidity ^0.4.16; interface tokenRecipient { function receiveApproval(address _from, uint256 _value, address _token, bytes _extraData) public; } contract TokenERC20 { string public name; string public symbol; uint8 public decimals = 18; uint256 public totalSupply; mapping (address => uint256) public balanceOf; mapping (address => mapping (address => uint256)) public allowance; event Transfer(address indexed from, address indexed to, uint256 value); event Burn(address indexed from, uint256 value); function TokenERC20( ) public { totalSupply = 100000000000 * 10 ** uint256(decimals); balanceOf[msg.sender] = totalSupply; name =""Love Wine Coin""; symbol = ""LOVC""; } function _transfer(address _from, address _to, uint _value) internal { require(_to != 0x0); require(balanceOf[_from] >= _value); require(balanceOf[_to] + _value > balanceOf[_to]); uint previousBalances = balanceOf[_from] + balanceOf[_to]; balanceOf[_from] -= _value; balanceOf[_to] += _value; Transfer(_from, _to, _value); assert(balanceOf[_from] + balanceOf[_to] == previousBalances); } function transfer(address _to, uint256 _value) public { _transfer(msg.sender, _to, _value); } }","{'other', 'arithmetic'}",50cdc9e8bc43b65fa983f9a19471d554,"{'access_control': 0.0, 'arithmetic': np.float64(0.688514475437834), 'denial_service': 0.0, 'front_running': 0.0, 'reentrancy': 0.0, 'time_manipulation': 0.0, 'unchecked_low_calls': 0.0, 'other': np.float64(0.1111111111111111), 'clean': 0.5555555555555556}","{'other', 'arithmetic'}",325
8,0x039b5649a59967e3e936d7471f9c3700100ee1ab,"{'mythril': {'vulnerabilities': {'Integer Underflow': 1}, 'categories': {'arithmetic': 1}}, 'slither': {'vulnerabilities': {}, 'categories': {}}, 'oyente': {'vulnerabilities': {'Integer Underflow.': 1}, 'categories': {'arithmetic': 1}}, 'osiris': {'vulnerabilities': {'underflow_bugs': 1}, 'categories': {'arithmetic': 1}}, 'smartcheck': {'vulnerabilities': {}, 'categories': {}}, 'manticore': {'vulnerabilities': {}, 'categories': {}}, 'maian': {'vulnerabilities': {}, 'categories': {}}, 'securify': {'vulnerabilities': {}, 'categories': {}}, 'honeybadger': {'vulnerabilities': {}, 'categories': {}}}","[59, 7]",3,"pragma solidity ^0.4.13; contract MyToken { string public name; string public symbol; uint8 public decimals; uint256 public totalSupply; mapping (address => uint256) public balanceOf; mapping (address => mapping (address => uint256)) public allowance; event Transfer(address indexed from, address indexed to, uint256 value); event Burn(address indexed from, uint256 value); function MyToken( uint256 initialSupply, string tokenName, uint8 decimalUnits, string tokenSymbol ) { balanceOf[msg.sender] = initialSupply; totalSupply = initialSupply; name = tokenName; symbol = tokenSymbol; decimals = decimalUnits; } function _transfer(address _from, address _to, uint _value) internal { require (_to != 0x0); require (balanceOf[_from] > _value); require (balanceOf[_to] + _value > balanceOf[_to]); balanceOf[_from] -= _value; balanceOf[_to] += _value; Transfer(_from, _to, _value); } function transfer(address _to, uint256 _value) { _transfer(msg.sender, _to, _value); } function burn(uint256 _value) returns (bool success) { require (balanceOf[msg.sender] > _value); balanceOf[msg.sender] -= _value; totalSupply -= _value; Burn(msg.sender, _value); return true; } }",{'arithmetic'},514ccca8b556a277f5762af0a3f95edb,"{'access_control': 0.0, 'arithmetic': np.float64(0.688514475437834), 'denial_service': 0.0, 'front_running': 0.0, 'reentrancy': 0.0, 'time_manipulation': 0.0, 'unchecked_low_calls': 0.0, 'other': 0.0, 'clean': 0.6666666666666666}",{'arithmetic'},330
9,0x79650799e7899a802cb96c0bc33a6a8d4ce4936c,"{'mythril': {'vulnerabilities': {'Integer Overflow': 2}, 'categories': {'arithmetic': 2}}, 'slither': {'vulnerabilities': {}, 'categories': {}}, 'oyente': {'vulnerabilities': {'Integer Underflow.': 1}, 'categories': {'arithmetic': 1}}, 'osiris': {'vulnerabilities': {'overflow_bugs': 2}, 'categories': {'arithmetic': 2}}, 'smartcheck': {'vulnerabilities': {}, 'categories': {}}, 'manticore': {'vulnerabilities': {}, 'categories': {}}, 'maian': {'vulnerabilities': {}, 'categories': {}}, 'securify': {'vulnerabilities': {}, 'categories': {}}, 'honeybadger': {'vulnerabilities': {}, 'categories': {}}}","[45, 52, 5, 46]",5,"pragma solidity ^0.4.16; contract AIT_TokenERC20 { string public name; string public symbol; uint8 public decimals = 18; uint256 public totalSupply; mapping (address => uint256) public balanceOf; mapping (address => mapping (address => uint256)) public allowance; event Transfer(address indexed from, address indexed to, uint256 value); function AIT_TokenERC20( uint256 initialSupply, string tokenName, string tokenSymbol ) public { totalSupply = initialSupply * 10 ** uint256(decimals); balanceOf[msg.sender] = totalSupply; name = tokenName; symbol = tokenSymbol; } function _transfer(address _from, address _to, uint _value) internal { require(_to != 0x0); require(balanceOf[_from] >= _value); require(balanceOf[_to] + _value > balanceOf[_to]); uint previousBalances = balanceOf[_from] + balanceOf[_to]; balanceOf[_from] -= _value; balanceOf[_to] += _value; Transfer(_from, _to, _value); assert(balanceOf[_from] + balanceOf[_to] == previousBalances); } function transfer(address _to, uint256 _value) public { _transfer(msg.sender, _to, _value); } function transferFrom(address _from, address _to, uint256 _value) public returns (bool success) { require(_value <= allowance[_from][msg.sender]); allowance[_from][msg.sender] -= _value; _transfer(_from, _to, _value); return true; } function approve(address _spender, uint256 _value) public returns (bool success) { allowance[msg.sender][_spender] = _value; return true; } }",{'arithmetic'},600121a96739ce47c4bbf9f829b21164,"{'access_control': 0.0, 'arithmetic': np.float64(0.688514475437834), 'denial_service': 0.0, 'front_running': 0.0, 'reentrancy': 0.0, 'time_manipulation': 0.0, 'unchecked_low_calls': 0.0, 'other': 0.0, 'clean': 0.6666666666666666}",{'arithmetic'},403
