id,contract_file,vulnerability,function_name,function_code,dataset
0,01b23286ff60a543ec29366ae8d6b6274ca20541,Timestamp-Dependency,_isLocked,"    function _isLocked(address account, uint256 amount) internal view returns(bool) {
        return _lockAmounts[account] != 0 &&
            _lockTimes[account] > block.timestamp &&
            (
                balanceOf(account) <= _lockAmounts[account] ||
                balanceOf(account).sub(_lockAmounts[account]) < amount
            );
    }",slither_audited
1,01b23286ff60a543ec29366ae8d6b6274ca20541,Timestamp-Dependency,setLock,"    function setLock(address account, uint256 releaseTime, uint256 amount) onlyOwner public {
        require(block.timestamp < releaseTime, ""ERC20 : Current time is greater than release time"");
        require(amount != 0, ""ERC20: Amount error"");
        _lockTimes[account] = releaseTime;
        _lockAmounts[account] = amount;
        emit LockChanged(account, releaseTime, amount);
    }",slither_audited
2,053889176621886e8ca98F349C1DEeB3612D2960,Timestamp-Dependency,executeTransaction,"    function executeTransaction(
        address target,
        uint256 value,
        string memory signature,
        bytes memory data,
        uint256 eta
    )
    public
    payable
    returns(bytes memory)
    {
        require(msg.sender == admin, ""Timelock::executeTransaction: Call must come from admin."");
        bytes32 txHash = keccak256(abi.encode(target, value, signature, data, eta));
        if (admin_initialized) {
            require(queuedTransactions[txHash], ""Timelock::executeTransaction: Transaction hasn't been queued."");
            require(getBlockTimestamp() >= eta, ""Timelock::executeTransaction: Transaction hasn't surpassed time lock."");
            require(getBlockTimestamp() <= eta.add(GRACE_PERIOD), ""Timelock::executeTransaction: Transaction is stale."");
            queuedTransactions[txHash] = false;
        }
        bytes memory callData;
        if (bytes(signature).length == 0) {
            callData = data;
        } else {
            callData = abi.encodePacked(bytes4(keccak256(bytes(signature))), data);
        }
        (bool success, bytes memory returnData) = target.call.value(value)(callData);
        require(success, ""Timelock::executeTransaction: Transaction execution reverted."");
        emit ExecuteTransaction(txHash, target, value, signature, data, eta);
        return returnData;
    }",slither_audited
3,053889176621886e8ca98F349C1DEeB3612D2960,Timestamp-Dependency,queueTransaction,"    function queueTransaction(
        address target,
        uint256 value,
        string memory signature,
        bytes memory data,
        uint256 eta
    )
    public
    returns(bytes32)
    {
        require(msg.sender == admin, ""Timelock::queueTransaction: Call must come from admin."");
        require(eta >= getBlockTimestamp().add(delay), ""Timelock::queueTransaction: Estimated execution block must satisfy delay."");
        bytes32 txHash = keccak256(abi.encode(target, value, signature, data, eta));
        queuedTransactions[txHash] = true;
        emit QueueTransaction(txHash, target, value, signature, data, eta);
        return txHash;
    }",slither_audited
4,05b5db99f390aba70b444d394be25f6074d7ac5a,Timestamp-Dependency,completeProposal,"    function completeProposal(uint64 proposalID, address[] calldata stakers) external active pendingProposal(proposalID) noReentrancy {
        ProposalMetadata storage meta = proposals[proposalID];
        uint256 requirement;
        if ((meta.pType == ProposalType.Fund) || (meta.pType == ProposalType.MelodyRemoval)) {
            requirement = _stake.totalStaked().div(2).add(1);
        } else if (meta.pType == ProposalType.MelodyAddition) {
            requirement = _stake.totalStaked().div(3).mul(2).add(1);
        } else if ((meta.pType == ProposalType.StakeUpgrade) || (meta.pType == ProposalType.DAOUpgrade)) {
            requirement = _stake.totalStaked().div(5).mul(4).add(1);
        } else {
            require(false);
        }
        uint256 votes = 0;
        for (uint i = 0; i < stakers.length; i++) {
            if (_stake.lastClaim(stakers[i]) == block.timestamp) {
                continue;
            }
            require(meta.stakers[stakers[i]]);
            require(!used[proposalID][stakers[i]]);
            used[proposalID][stakers[i]] = true;
            votes = votes.add(_stake.staked(stakers[i]));
        }
        require(votes >= requirement);
        meta.completed = true;
        emit ProposalPassed(proposalID);
        if (meta.pType == ProposalType.Fund) {
            FundProposal memory proposal = _fundProposals[proposalID];
            require(_SEED.transfer(proposal.destination, proposal.amount));
        } else if (meta.pType == ProposalType.MelodyAddition) {
            _stake.addMelody(_melodyAdditionProposals[proposalID].melody);
        } else if (meta.pType == ProposalType.MelodyRemoval) {
            _stake.removeMelody(_melodyRemovalProposals[proposalID].melody);
        } else if (meta.pType == ProposalType.StakeUpgrade) {
            StakeUpgradeProposal memory proposal = _stakeUpgradeProposals[proposalID];
            for (uint i = 0; i < proposal.owned.length; i++) {
                _stake.upgrade(proposal.owned[i], proposal.newStake);
            }
            _stake.addMelody(address(proposal.newStake));
            _stake = ISeedStake(proposal.newStake);
        } else if (meta.pType == ProposalType.DAOUpgrade) {
            _upgrade = _daoUpgradeProposals[proposalID].newDAO;
            _stake.transferOwnership(_upgrade);
            forwardSEED();
        } else {
            require(false);
        }
    }",slither_audited
5,05b5db99f390aba70b444d394be25f6074d7ac5a,Timestamp-Dependency,withdrawProposal,"    function withdrawProposal(uint64 proposalID) external active pendingProposal(proposalID) {
        require(proposals[proposalID].creator == msg.sender);
        proposals[proposalID].completed = true;
        emit ProposalRemoved(proposalID);
    }",slither_audited
6,05b5db99f390aba70b444d394be25f6074d7ac5a,Re-entrancy,proposeMelodyAddition,"    function proposeMelodyAddition(address melody, string calldata info) external returns(uint64) {
        uint64 proposalID = _createNewProposal(ProposalType.MelodyAddition);
        _melodyAdditionProposals[proposalID] = MelodyAdditionProposal(melody, info);
        emit MelodyAdditionProposed(proposalID, melody);
        return proposalID;
    }",slither_audited
7,05b5db99f390aba70b444d394be25f6074d7ac5a,Re-entrancy,_createNewProposal,"    function _createNewProposal(ProposalType pType) internal active returns(uint64) {
        require(_SEED.transferFrom(msg.sender, address(this), PROPOSAL_FEE));
        _nextProposalID += 1;
        emit NewProposal(_nextProposalID);
        ProposalMetadata storage meta = proposals[_nextProposalID];
        meta.pType = pType;
        meta.creator = msg.sender;
        meta.submitted = block.timestamp;
        meta.stakers[msg.sender] = true;
        emit ProposalVoteAdded(_nextProposalID, msg.sender);
        return _nextProposalID;
    }",slither_audited
8,05b5db99f390aba70b444d394be25f6074d7ac5a,Re-entrancy,proposeDAOUpgrade,"    function proposeDAOUpgrade(address newDAO, string calldata info) external returns(uint64) {
        uint64 proposalID = _createNewProposal(ProposalType.DAOUpgrade);
        _daoUpgradeProposals[proposalID] = DAOUpgradeProposal(newDAO, info);
        emit DAOUpgradeProposed(proposalID, newDAO);
        return proposalID;
    }",slither_audited
9,05b5db99f390aba70b444d394be25f6074d7ac5a,Re-entrancy,proposeStakeUpgrade,"    function proposeStakeUpgrade(address newStake, address[] calldata owned, string calldata info) external returns(uint64) {
        uint64 proposalID = _createNewProposal(ProposalType.StakeUpgrade);
        for (uint i = 0; i < owned.length; i++) {
            if (owned[i] == address(_SEED)) {
                break;
            }
            require(i != owned.length - 1);
        }
        _stakeUpgradeProposals[proposalID] = StakeUpgradeProposal(newStake, owned, info);
        emit StakeUpgradeProposed(proposalID, newStake);
        return proposalID;
    }",slither_audited
