id,contract_file,vulnerability,detector,function_name,function_code,dataset
0,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,Re-entrancy,reentrancy-unlimited-gas,withdraw,"    function withdraw(address token, uint256 amount) returns(bool success) {
        if (safeSub(block.number, lastActiveTransaction[msg.sender]) < inactivityReleasePeriod) throw;
        if (tokens[token][msg.sender] < amount) throw;
        tokens[token][msg.sender] = safeSub(tokens[token][msg.sender], amount);
        if (token == address(0)) {
            if (!msg.sender.send(amount)) throw;
        } else {
            if (!Token(token).transfer(msg.sender, amount)) throw;
        }
        Withdraw(token, msg.sender, amount, tokens[token][msg.sender]);
    }",smartbugs_wild
1,0x06012c8cf97bead5deae237070f9587f8e7a266d,Re-entrancy,reentrancy-no-eth,createGen0Auction,"    function createGen0Auction(uint256 _genes) external onlyCOO {
        require(gen0CreatedCount < GEN0_CREATION_LIMIT);
        uint256 kittyId = _createKitty(0, 0, 0, _genes, address(this));
        _approve(kittyId, saleAuction);
        saleAuction.createAuction(
            kittyId,
            _computeNextGen0Price(),
            0,
            GEN0_AUCTION_DURATION,
            address(this)
        );
        gen0CreatedCount++;
    }",smartbugs_wild
2,0x06012c8cf97bead5deae237070f9587f8e7a266d,Re-entrancy,reentrancy-no-eth,giveBirth,"    function giveBirth(uint256 _matronId)
    external
    whenNotPaused
    returns(uint256) {
        Kitty storage matron = kitties[_matronId];
        require(matron.birthTime != 0);
        require(_isReadyToGiveBirth(matron));
        uint256 sireId = matron.siringWithId;
        Kitty storage sire = kitties[sireId];
        uint16 parentGen = matron.generation;
        if (sire.generation > matron.generation) {
            parentGen = sire.generation;
        }
        uint256 childGenes = geneScience.mixGenes(matron.genes, sire.genes, matron.cooldownEndBlock - 1);
        address owner = kittyIndexToOwner[_matronId];
        uint256 kittenId = _createKitty(_matronId, matron.siringWithId, parentGen + 1, childGenes, owner);
        delete matron.siringWithId;
        pregnantKitties--;
        msg.sender.send(autoBirthFee);
        return kittenId;
    }",smartbugs_wild
3,0x06012c8cf97bead5deae237070f9587f8e7a266d,Timestamp-Dependency,timestamp,breedWithAuto,"    function breedWithAuto(uint256 _matronId, uint256 _sireId)
    external
    payable
    whenNotPaused {
        require(msg.value >= autoBirthFee);
        require(_owns(msg.sender, _matronId));
        require(_isSiringPermitted(_sireId, _matronId));
        Kitty storage matron = kitties[_matronId];
        require(_isReadyToBreed(matron));
        Kitty storage sire = kitties[_sireId];
        require(_isReadyToBreed(sire));
        require(_isValidMatingPair(
            matron,
            _matronId,
            sire,
            _sireId
        ));
        _breedWith(_matronId, _sireId);
    }",smartbugs_wild
4,0x06012c8cf97bead5deae237070f9587f8e7a266d,Unhandled-Exceptions,unchecked-send,withdrawBalance,"    function withdrawBalance() external onlyCFO {
        uint256 balance = this.balance;
        uint256 subtractFees = (pregnantKitties + 1) * autoBirthFee;
        if (balance > subtractFees) {
            cfoAddress.send(balance - subtractFees);
        }
    }",smartbugs_wild
5,0x06012c8cf97bead5deae237070f9587f8e7a266d,Re-entrancy,reentrancy-benign,setSiringAuctionAddress,"    function setSiringAuctionAddress(address _address) external onlyCEO {
        SiringClockAuction candidateContract = SiringClockAuction(_address);
        require(candidateContract.isSiringClockAuction());
        siringAuction = candidateContract;
    }",smartbugs_wild
6,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Timestamp-Dependency,timestamp,cancelBid,"    function cancelBid(address bidder, bytes32 seal) {
        Deed bid = sealedBids[bidder][seal];
        if (address(bid) == 0 ||
            now < bid.creationDate() + totalAuctionLength + 2 weeks) throw;
        bid.setOwner(msg.sender);
        bid.closeDeed(5);
        sealedBids[bidder][seal] = Deed(0);
        BidRevealed(seal, bidder, 0, 5);
    }",smartbugs_wild
7,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Timestamp-Dependency,timestamp,state,"    function state(bytes32 _hash) constant returns(Mode) {
        var entry = _entries[_hash];
        if (!isAllowed(_hash, now)) {
            return Mode.NotYetAvailable;
        } else if (now < entry.registrationDate) {
            if (now < entry.registrationDate - revealPeriod) {
                return Mode.Auction;
            } else {
                return Mode.Reveal;
            }
        } else {
            if (entry.highestBid == 0) {
                return Mode.Open;
            } else {
                return Mode.Owned;
            }
        }
    }",smartbugs_wild
8,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Timestamp-Dependency,timestamp,releaseDeed,"    function releaseDeed(bytes32 _hash) onlyOwner(_hash) {
        entry h = _entries[_hash];
        Deed deedContract = h.deed;
        if (now < h.registrationDate + 1 years && ens.owner(rootNode) == address(this)) throw;
        h.value = 0;
        h.highestBid = 0;
        h.deed = Deed(0);
        _tryEraseSingleNode(_hash);
        deedContract.closeDeed(1000);
        HashReleased(_hash, h.value);
    }",smartbugs_wild
9,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Re-entrancy,reentrancy-no-eth,transferRegistrars,"    function transferRegistrars(bytes32 _hash) onlyOwner(_hash) {
        var registrar = ens.owner(rootNode);
        if (registrar == address(this))
            throw;
        entry h = _entries[_hash];
        h.deed.setRegistrar(registrar);
        Registrar(registrar).acceptRegistrarTransfer(_hash, h.deed, h.registrationDate);
        h.deed = Deed(0);
        h.registrationDate = 0;
        h.value = 0;
        h.highestBid = 0;
    }",smartbugs_wild
10,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Re-entrancy,reentrancy-benign,startAuctionsAndBid,"    function startAuctionsAndBid(bytes32[] hashes, bytes32 sealedBid) payable {
        startAuctions(hashes);
        newBid(sealedBid);
    }",smartbugs_wild
11,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Re-entrancy,reentrancy-benign,bid,"    function bid(uint256 _tokenId)
    external
    payable {
        address seller = tokenIdToAuction[_tokenId].seller;
        uint256 price = _bid(_tokenId, msg.value);
        _transfer(msg.sender, _tokenId);
        if (seller == address(nonFungibleContract)) {
            lastGen0SalePrices[gen0SaleCount % 5] = price;
            gen0SaleCount++;
        }
    }",smartbugs_wild
12,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Timestamp-Dependency,timestamp,_bid,"    function _bid(uint256 _tokenId, uint256 _bidAmount)
    internal
    returns(uint256) {
        Auction storage auction = tokenIdToAuction[_tokenId];
        require(_isOnAuction(auction));
        uint256 price = _currentPrice(auction);
        require(_bidAmount >= price);
        address seller = auction.seller;
        _removeAuction(_tokenId);
        if (price > 0) {
            uint256 auctioneerCut = _computeCut(price);
            uint256 sellerProceeds = price - auctioneerCut;
            seller.transfer(sellerProceeds);
        }
        uint256 bidExcess = _bidAmount - price;
        msg.sender.transfer(bidExcess);
        AuctionSuccessful(_tokenId, price, msg.sender);
        return price;
    }",smartbugs_wild
13,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Timestamp-Dependency,timestamp,getCurrentPrice,"    function getCurrentPrice(uint256 _tokenId)
    external
    view
    returns(uint256) {
        Auction storage auction = tokenIdToAuction[_tokenId];
        require(_isOnAuction(auction));
        return _currentPrice(auction);
    }",smartbugs_wild
14,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Timestamp-Dependency,timestamp,_computeCurrentPrice,"    function _computeCurrentPrice(
        uint256 _startingPrice,
        uint256 _endingPrice,
        uint256 _duration,
        uint256 _secondsPassed
    )
    internal
    pure
    returns(uint256) {
        if (_secondsPassed >= _duration) {
            return _endingPrice;
        } else {
            int256 totalPriceChange = int256(_endingPrice) - int256(_startingPrice);
            int256 currentPriceChange = totalPriceChange * int256(_secondsPassed) / int256(_duration);
            int256 currentPrice = int256(_startingPrice) + currentPriceChange;
            return uint256(currentPrice);
        }
    }",smartbugs_wild
15,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Timestamp-Dependency,timestamp,cancelAuction,"    function cancelAuction(uint256 _tokenId)
    external {
        Auction storage auction = tokenIdToAuction[_tokenId];
        require(_isOnAuction(auction));
        address seller = auction.seller;
        require(msg.sender == seller);
        _cancelAuction(_tokenId, seller);
    }",smartbugs_wild
16,0x0d152b9ee87ebae179f64c067a966dd716c50742,Re-entrancy,reentrancy-unlimited-gas,refundETH,"    function refundETH(address payee, uint256 amount) onlyOwner public {
        require(payee != address(0));
        require(this.balance >= amount);
        assert(payee.send(amount));
        RefundETH(owner, payee, amount);
    }",smartbugs_wild
17,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,Re-entrancy,reentrancy-benign,depositToken,"    function depositToken(address _token, uint _amount) deprecable {
        require(_token != 0);
        if (!Token(_token).transferFrom(msg.sender, this, _amount)) {
            revert();
        }
        tokens[_token][msg.sender] = safeAdd(tokens[_token][msg.sender], _amount);
        Deposit(_token, msg.sender, _amount, tokens[_token][msg.sender]);
    }",smartbugs_wild
18,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,Re-entrancy,reentrancy-benign,setName,"    function setName(string name_) public auth {
        name = name_;
    }",smartbugs_wild
19,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,Re-entrancy,reentrancy-benign,setUnlockTime,"    function setUnlockTime(uint unlockTime_) public auth {
        unlockTime = unlockTime_;
    }",smartbugs_wild
20,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,Re-entrancy,reentrancy-benign,stop,"    function stop() public auth note {
        stopped = true;
    }",smartbugs_wild
21,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,Re-entrancy,reentrancy-no-eth,setOwner,"    function setOwner(address owner_)
    public
    auth {
        removeAdmin(owner);
        owner = owner_;
        addAdmin(owner);
        emit LogSetOwner(owner);
    }",smartbugs_wild
22,0x798abda6cc246d0edba912092a2a3dbd3d11191b,Re-entrancy,reentrancy-unlimited-gas,withdrawEther,"    function withdrawEther(uint amount, address sendTo) external onlyAdmin {
        sendTo.transfer(amount);
        EtherWithdraw(amount, sendTo);
    }",smartbugs_wild
23,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,Timestamp-Dependency,timestamp,take,"    function take(bytes32 id, uint128 maxTakeAmount) public {
        require(buy(uint256(id), maxTakeAmount));
    }",smartbugs_wild
24,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,Timestamp-Dependency,timestamp,_findpos,"    function _findpos(uint id, uint pos)
    internal
    view
    returns(uint) {
        require(id > 0);
        while (pos != 0 && !isActive(pos)) {
            pos = _rank[pos].prev;
        }
        if (pos == 0) {
            return _find(id);
        } else {
            if (_isPricedLtOrEq(id, pos)) {
                uint old_pos;
                while (pos != 0 && _isPricedLtOrEq(id, pos)) {
                    old_pos = pos;
                    pos = _rank[pos].prev;
                }
                return old_pos;
            } else {
                while (pos != 0 && !_isPricedLtOrEq(id, pos)) {
                    pos = _rank[pos].next;
                }
                return pos;
            }
        }
    }",smartbugs_wild
25,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,Timestamp-Dependency,timestamp,isClosed,"    function isClosed() public constant returns(bool closed) {
        return stopped || getTime() > close_time;
    }",smartbugs_wild
26,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,Timestamp-Dependency,timestamp,getPayAmount,"    function getPayAmount(ERC20 pay_gem, ERC20 buy_gem, uint buy_amt) public constant returns(uint fill_amt) {
        var offerId = getBestOffer(buy_gem, pay_gem); 
        while (buy_amt > offers[offerId].pay_amt) {
            fill_amt = add(fill_amt, offers[offerId].buy_amt); 
            buy_amt = sub(buy_amt, offers[offerId].pay_amt); 
            if (buy_amt > 0) { 
                offerId = getWorseOffer(offerId); 
                require(offerId != 0); 
            }
        }
        fill_amt = add(fill_amt, rmul(buy_amt * 10 ** 9, rdiv(offers[offerId].buy_amt, offers[offerId].pay_amt)) / 10 ** 9); 
    }",smartbugs_wild
27,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,Re-entrancy,reentrancy-benign,setMinSell,"    function setMinSell(
        ERC20 pay_gem, 
        uint dust 
    )
    public
    auth
    note
    returns(bool) {
        _dust[pay_gem] = dust;
        LogMinSell(pay_gem, dust);
        return true;
    }",smartbugs_wild
28,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,Re-entrancy,reentrancy-benign,_offeru,"    function _offeru(
        uint pay_amt, 
        ERC20 pay_gem, 
        uint buy_amt, 
        ERC20 buy_gem 
    )
    internal
    returns(uint id) {
        require(_dust[pay_gem] <= pay_amt);
        id = super.offer(pay_amt, pay_gem, buy_amt, buy_gem);
        _near[id] = _head;
        _head = id;
        LogUnsortedOffer(id);
    }",smartbugs_wild
29,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,Re-entrancy,reentrancy-no-eth,setAuthority,"    function setAuthority(DSAuthority authority_)
    public
    auth {
        authority = authority_;
        LogSetAuthority(authority);
    }",smartbugs_wild
30,0xb3775fb83f7d12a36e0475abdd1fca35c091efbe,Re-entrancy,reentrancy-unlimited-gas,withdraw,"    function withdraw()
    onlyStronghands()
    public {
        address _customerAddress = msg.sender;
        uint256 _dividends = myDividends(false); 
        payoutsTo_[_customerAddress] += (int256)(_dividends * magnitude);
        _dividends += referralBalance_[_customerAddress];
        referralBalance_[_customerAddress] = 0;
        _customerAddress.transfer(_dividends);
        onWithdraw(_customerAddress, _dividends);
    }",smartbugs_wild
31,0x4f833a24e1f95d70f028921e27040ca56e09ab0b,Re-entrancy,reentrancy-benign,registerAssetProxy,"    function registerAssetProxy(address assetProxy)
    external
    onlyOwner {
        IAssetProxy assetProxyContract = IAssetProxy(assetProxy);
        bytes4 assetProxyId = assetProxyContract.getProxyId();
        address currentAssetProxy = assetProxies[assetProxyId];
        require(
            currentAssetProxy == address(0),
            ""ASSET_PROXY_ALREADY_EXISTS""
        );
        assetProxies[assetProxyId] = assetProxyContract;
        emit AssetProxyRegistered(
            assetProxyId,
            assetProxy
        );
    }",smartbugs_wild
